字段2,字段3
"
华裔记者呼吁国际社会支持企业抵制中国人权侵害
",因为拒绝使用中国新疆地区强制劳动生产的棉花，H＆M，耐克(Nike)和其他西方大型服装品牌在中国正面临抵制。H&M发布声明称，该公司公开透明地管理其全球供应链，并不代表任何政治立场。
"
自由之家呼吁改善美国民主 “别让专制政权借此妄称他们的制度更优越”
",党派隶属关系与种族和宗教身份的联系越来越紧密... 文章联系最近在阿拉斯加美中高层会谈中国最高外交官杨洁篪以“黑人命也是命”（Black Life Matters）等为证据斥责美国的人权纪录、制度性不平等，引用前苏联共产党领袖列宁的... 布林肯在美中阿拉斯加会晤中回应杨洁篪的指责时说，“承认我们不完美，我们会犯错，我们会逆转，我们会后退... 
"
白宫要义: 拜登: 习近平骨子没有一丁点民主，美国持续关注台湾、新疆、香港
",在回应美中关系的问题时，拜登总统说这是“21世纪民主政体与专制政体之间的战争 (this is a battle between utilities of democracies... 这几天许多服装品牌... 拜登总统被问到是否会维持对中国的关税，以及是否要禁止强迫劳动的商品等，他回应说这些都是必须要解决的问题，但这些只是美中关系当中的一部分，整体美中关系还要更大更复杂... 
"
“这是民主与专制的较量” 拜登首场记者会阐述美中关系
",拜登表示，他在上任后与中国领导人习近平长达两个小时的通话中向对方表明，美国并不寻求“对峙”，但美中之间存在“激烈的竞争”，美国将坚持要求中国按照国际规则“公平竞争... 美国威尔逊中心基辛格中美关系研究所主任戴博认为，拜登在记者会上针对中国的讲话措辞并没有那么强硬，但将美中竞争的事实阐释得很清楚... 对此，威尔逊中心基辛格中美关系研究所主任戴博认为，拜登意在避免过度承诺... 
"
美在台协会：推动美台半导体合作是美国政策要务
",美国在台协会(AIT)驻台北负责人说，美国与台湾是全球半导体供应链中最自然的合作伙伴，推动这种合作是美国一项政策要务... 透过这项新机制，美国与台湾将能强化现有的经济合作领域，建立新的经济合作关系，并打造一个联盟，来反制中国不公平的经济与投资政策... 他还说：“在全球半导体供应链中，美国与台湾是最自然的合作伙伴；在半导体价值链的上下游，都找得到许多美台公司的身影... 
"
中国对台战略模糊，其实自己心中也模糊
",美国军方官员和安全问题专家最近... 此前，美国最具影响力的智库“外交关系协会”在上个月一份汇整了百余位专家观点的专题报告中说，台湾海峡“正成为令美中及其他大国卷入一场潜在战争的全球最危险的战争起火点... 他说：“对首选手段和方式维持一定程度的不确定性不仅可以让台湾和美国不断猜测其用意，也可以在台湾和美国的选民和决策者中、在美国的地区盟友以及伙伴中埋下分歧与不和的种子... 
"
中欧协定遭遇意外，北京力促RCEP如期执行
",自从美国新一届政府上台以来，美中关系非但没有朝着北京希望的方向出现缓和，而是更趋紧张... 这两项协定的达成是中共利用美国政府换届的空挡而取得两项重要的外交成果，客观上对美国联合盟友遏制中国的努力构成了障碍... 中共虽然拿下了这两个重要的协定，但它在人权方面的种种劣迹和在外交事务方面咄咄逼人的战狼作风迫使越来越多原本愿意与它发展经贸关系的国家向美国方面靠拢... 
"
美国总统拜登就任后首场记者会(同声传译)
",美国总统拜登于美东时间3月25日星期四下午举行上任以来的首场正式记者会... 拜登总统在记者会上回答从新冠疫情、经济纾困到边境安全、枪支管控、美中关系以及美朝关系等一系列问题... 拜登在记者会上表示目前已接种了1亿支新冠疫苗，他同时宣布将在就职100天内完成2亿支新冠疫苗的... 拜登总统在记者会上陈述了他对美中关系的看法... 拜登表示，美国并不寻求对峙，但美中之间面临“严峻的竞争... 
"
多重利空形成重压 中国科技企业在美港股市遭重创
",由于担心被美国市场监管... 中国电商巨头阿里巴巴的股票在香港股市周四（3月25日）盘中交易下跌4.2%；上市还不足一周的搜索引擎公司百度股票的跌幅高达9.65%；腾讯下跌2.3%；京东下跌3.57%；网易股票... 美国总统的更换并没有减轻美中关系的压力... 在过去的两个月里，拜登政府着手加强了与盟国的协调，美欧等多方面联手对抗中国展现出显著成效，给中国方面形成了更大的压力... 
"
国际品牌停用疆棉在中国引发抵制浪潮 这一套世界要继续吃吗？
",针对中国境内的抵制热潮，一位不愿透露姓名的经济学者在接受美国之音采访时表示，这是中美关系恶化的前提下，“国内可能要找一个情绪表达的出口，做个姿态... 与其去抵制，还不如考虑怎么跟这么多的国家改善关系，尤其是跟主流世界改善关系... 对内，随着中共内部鹰派得势多年，鸽派的声音已经渐渐被削弱，因此，中美两国的对抗看来只会更激化，敌意升高的前提下，他问，哪来合作的空间呢... 
"
布林肯北约演说：重新强调并重新构思美国的同盟关系(全文翻译)
",美国国务卿布林肯3月24日在布鲁塞尔北约总部发表演说，表示美国将重新致力于维持和发展北约等美国的同盟关系... 他还对盟国重点谈到了中国在军事和非军事领域... 我当时说，我们将为美国人民带来成果的一个关键方式是重新强调并重新振兴我们在世界各地的同盟与伙伴关系... 这对我们维持对盟友的牢固和可信的承诺来说至关重要，即使我们也在采取步骤进一步减少核武器在我们的国家安全中所起的作用... 
"
中国人吃的就是“这一套”
",他告诉美国之音：“一旦中国认识到美国确实是从实力的地位与中国打交道，美中关系将会回到能够管控最艰难议题、可以探索合作的状态... 何瑞恩说，他这本书的目的之一就是要告诉大家，在美中关系中，美国依然是更加强大的一方... 他说，未来的美中关系就像阿拉斯加会谈展示的那样，在唇枪舌剑后，两国还得坐下来就共同关注的问题进行会谈
"
美欧重启关于中国的对话
",美国国务卿布林肯星期三（3月24日）在布鲁塞尔与欧盟... 博雷利在会后对媒体讲话时说，他们的这次会谈为美欧关系“开启了新篇章... 双方在会后发表的联合声明中说，美欧方面都理解，与中国的关系是多方面的，既有合作伙伴成分，也有竞争者和系统性的对手成分... “我们将寻求一切机会与我们的盟友和伙伴进行磋商和合作，并确保这些关系能够应对我们这个时代正在出现的新威胁和机会，”布林肯说... 
"
拜登记者会阐述美中关系
",美国总统拜登25日在他上任以来的首次记者会上表示，在他的任上中国成为世界最富裕、最强大国家的目标不会实现。他说要通过增加美国在科研方面的投资来应对中国的崛起。拜登总统说，他向中国领导人习近平表明美国会继续对北京侵犯人权行为发声。
"
白宫要义: 布林肯向拜登通报阿拉斯加会议内涵 欧洲之行仍着重中国
",白宫表示，阿拉斯加会议之后，布林肯国务卿与国安顾问沙利文已经向拜登总统报告会议内容，拜登政府持续与盟友讨论该如何面对中国，包括布林肯的欧洲之行... 美国国务卿布林肯及白宫国安顾问沙利文上星期四跟星期五在阿拉斯加与中国主管外交的杨洁篪跟王毅会谈，会议开始前美中双方言辞交锋... 白宫星期三表示，拜登总统已经与两位官员谈过，未来将继续与盟友讨论，以制订对中国政策... 
"
美国务卿呼吁北约盟国共同抵制北京威胁
",美国国务卿布林肯星期三在比利时布鲁塞尔，与北约盟国外长会面后发表演说，强烈谴责中国广泛使用强迫措施，并敦促北约盟国与美国合作，加强对北京的抵制。
"
美国证交会开始推出将中国公司摘牌的规定
",美国证券监管部门宣布最新监管措施，执行在美上市公司不受外国政府控制的法律，不遵守美国审计标准的外国公司将被逐出美国股票交易市场... 美国证券交易委员会（SEC）星期三（3月24日）公布了一项临时... 美国证交会的声明提到，规定在美上市公司必须说明董事会中是否有中国共产党官员，并说明公司章程中是否含有中国共产党党章内容，并在年度报告中披露是否存在任何的海外安排和影响力... 
